"SAMPLE_ID","SUBTYPE","CDH1","CSMD1","DMD","DST","FAT3","FLG","GATA3","HMCN1","HUWE1","MAP3K1","MUC16","PIK3CA","RUNX1","RYR2","SPTA1","SYNE1","TP53","TTN","USH2A","ZFHX4"
"TCGA-BH-A8FY-01","BRCA_LumA","-0.6783","-2.9480","-7.0946","-3.5850","-3.4940","-3.5188"," 1.4881","-5.0513","-2.5531"," 0.9794","-2.6674","-3.6695"," 0.5509","-0.6824","-2.0929","-5.7947","-0.5774","-1.5936"," 2.2351","-5.2280"
"TCGA-BH-A8FZ-01","BRCA_Normal","-0.1680","-0.9390","-3.2098","-1.3354","-0.3876","-1.1229"," 0.0098","-0.4555","-1.0147","-0.2752","-1.1384","-1.7647"," 0.7880","-0.1215","-0.6149","-1.4789","-1.6645"," 0.2418","-2.0260","-1.1813"
"TCGA-BH-A8G0-01","BRCA_LumA","-0.3212","-0.9215","-3.8762","-1.9605"," 0.1427"," 0.2407"," 1.1344"," 0.1293","-1.4921"," 0.7353"," 0.3831","-1.9244"," 0.7091"," 0.5062","-0.1131","-1.2604"," 0.0948","-0.3753"," 1.3901","-0.4714"
"TCGA-BH-AB28-01","BRCA_LumA"," 0.2272","-1.0708","-5.5210","-2.4207","-0.6192","-1.0201"," 1.5725","-1.0137","-0.3383"," 0.2641","-1.5583","-3.1281"," 1.5253","-0.5486","-1.7313","-2.2176"," 1.3978","-0.5942"," 0.6004","-1.2562"
"TCGA-C8-A12K-01","BRCA_Basal"," 0.5050","-2.5082","-1.2073","-5.6540","-2.5837","-4.1459","-0.8687","-3.6945"," 0.4772","-1.1719"," 1.8694","-1.2317","-1.2983","-0.8232","-0.0667","-2.9761"," 1.3384","-0.6178","-0.6682","-3.1744"
"TCGA-C8-A12L-01","BRCA_Her2"," 0.9097","-2.9480","-4.4738","-2.5985","-2.0193","-1.4414","-0.2800","-1.9044"," 1.8010"," 0.4417","-2.2187"," 0.7881","-0.2368","-0.9544","-1.2493","-3.7513"," 1.7585","-2.2343","-2.5006","-2.9055"
"TCGA-C8-A12M-01","BRCA_LumB"," 0.7583","-2.9480","-7.9457","-2.7325","-3.2524"," 0.2839"," 2.2079","-2.5275"," 1.8763","-2.1232","-1.5819","-0.0872"," 0.6980","-1.0478","-0.0981","-2.4305"," 1.6978","-0.4122","-2.2026","-2.8652"
"TCGA-C8-A12N-01","BRCA_LumA"," 0.1980"," 0.3736","-6.7772","-4.3456"," 0.1678","-1.2047"," 1.6909"," 0.6325","-1.6004"," 1.4818","-1.2654","-1.5989"," 0.5521"," 0.4881","-1.2385","-2.0933"," 1.4708","-0.7144","-0.3912"," 0.0546"
"TCGA-C8-A12O-01","BRCA_LumA"," 0.5642","-0.3743","-6.2098","-2.7997"," 1.2537","-0.6025"," 0.3210"," 0.4070"," 1.3116","-1.5281","-2.6405","-0.8795"," 1.3510","-0.4192"," 0.0644","-1.1370","-0.1838","-0.8107","-0.9408"," 0.1200"
"TCGA-C8-A12P-01","BRCA_Her2"," 0.6093","-1.9702","-3.2200","-3.1012","-0.1635","-0.6988","-2.4021","-0.7896"," 1.7567","-0.7225","-1.5502"," 0.3408","-0.1473","-0.9437","-0.1675","-2.7263"," 0.7936","-1.4420","-2.1314","-0.6545"
